Year,Ward,Dwellings,Residents,Vehicles,Age 65 +,Voters,CENSUS_YEAR
04/01/1995 12:00:00 AM,2,22557,65773,,,,1995
04/01/1995 12:00:00 AM,3,20828,60713,,,,1995
04/01/1995 12:00:00 AM,4,21962,46367,,,,1995
04/01/1995 12:00:00 AM,5,19359,63187,,,,1995
04/01/1995 12:00:00 AM,6,21129,49792,,,,1995
04/01/1995 12:00:00 AM,7,27806,49656,,,,1995
04/01/1995 12:00:00 AM,8,27062,41566,,,,1995
04/01/1995 12:00:00 AM,9,20112,52072,,,,1995
04/01/1995 12:00:00 AM,10,18321,55305,,,,1995
04/01/1995 12:00:00 AM,11,21108,47363,,,,1995
04/01/1995 12:00:00 AM,12,21162,54968,,,,1995
04/01/1995 12:00:00 AM,13,19341,54921,,,,1995
04/01/1995 12:00:00 AM,14,17534,55300,,,,1995
04/01/1996 12:00:00 AM,1,20816,53039,,,,1996
04/01/1996 12:00:00 AM,2,23761,69568,,,,1996
04/01/1996 12:00:00 AM,3,21283,62270,,,,1996
04/01/1996 12:00:00 AM,4,22053,46691,,,,1996
04/01/1996 12:00:00 AM,5,19749,64747,,,,1996
04/01/1996 12:00:00 AM,6,22197,52351,,,,1996
04/01/1996 12:00:00 AM,7,27930,50635,,,,1996
04/01/1996 12:00:00 AM,8,27026,43262,,,,1996
04/01/1996 12:00:00 AM,9,20205,53042,,,,1996
04/01/1996 12:00:00 AM,10,18481,55627,,,,1996
04/01/1996 12:00:00 AM,11,21149,47766,,,,1996
04/01/1996 12:00:00 AM,12,21451,55702,,,,1996
04/01/1996 12:00:00 AM,13,19472,55002,,,,1996
04/01/1996 12:00:00 AM,14,18438,57357,,,,1996
04/01/1997 12:00:00 AM,1,21501,54887,,,,1997
04/01/1997 12:00:00 AM,2,25978,74337,,,,1997
04/01/1997 12:00:00 AM,3,22148,64673,,,,1997
04/01/1997 12:00:00 AM,4,22124,47286,,,,1997
04/01/1997 12:00:00 AM,5,20245,66719,,,,1997
